loan_type,employment_status,monthly_income,cibil_score,existing_emis_monthly,debt_to_income_ratio,property_ownership_status,applicant_age,loan_amount_requested
4,4,50200,717,2600,0.0518,0,27,575000
3,3,68300,690,3500,0.0512,0,31,386000
2,1,65200,722,1400,0.0215,2,38,100000
3,5,34300,683,2900,0.0844999999999999,1,50,995000
4,0,66000,632,2100,0.0318,0,50,529000
0,0,12300,723,6300,0.6748000000000001,0,42,778000
4,1,79300,714,3100,0.0391,1,45,995000
0,0,88200,730,4400,0.0499,0,46,971000
4,1,78800,722,2800,0.0355,2,53,353000
1,5,54800,740,2000,0.0365,0,63,283000
3,1,79700,722,3000,0.0375999999999999,2,60,231000
3,0,81900,678,3300,0.0403,1,55,306000
2,4,70600,723,6300,0.1006,1,42,100000
4,5,49200,654,3100,0.063,0,24,386000
2,0,61600,641,3500,0.0567999999999999,2,35,537000
3,2,55100,667,1800,0.0327,0,63,618000
4,4,18100,739,4000,0.221,2,33,825000
1,0,47800,684,4800,0.1003999999999999,0,50,337000
0,2,91100,644,3200,0.0293,0,41,414000
1,5,34000,758,0,0.0,1,57,578000
4,2,75900,673,5600,0.0738,0,56,523000
2,1,59200,703,2900,0.049,1,51,247000
4,0,64900,730,2500,0.0385,2,42,547000
1,4,77700,645,2200,0.0283,1,32,100000
0,5,48100,700,2600,0.0541,1,44,100000
1,5,28500,719,5000,0.1754,1,54,567000
3,2,19600,683,4900,0.25,1,23,530000
1,1,35200,675,2300,0.0653,0,43,752000
4,1,50700,727,6300,0.1479,1,26,535000
2,2,28000,774,3300,0.1178999999999999,0,23,326000
3,2,61100,649,2000,0.0327,1,41,611000
0,4,67100,717,0,0.0,0,48,822000
3,2,81400,700,900,0.0111,0,38,450000
3,4,20700,743,1500,0.0725,1,40,100000
2,2,10000,658,6300,0.64,2,59,274000
2,1,41000,716,6300,0.1634,1,42,774000
3,2,57300,698,300,0.0052,1,48,100000
1,2,10000,678,800,0.08,1,27,501000
4,2,43400,710,5300,0.1221,1,58,529000
2,1,70300,750,6300,0.128,2,48,961000
3,5,60200,781,3900,0.0648,1,41,436000
4,5,53400,713,1000,0.0187,0,29,581000
1,1,67900,756,1800,0.0265,0,59,775000
2,0,33600,679,1000,0.0298,2,34,134000
3,2,35700,650,3200,0.0896,2,42,219000
4,1,10000,729,3100,0.31,1,57,251000
1,2,35600,781,100,0.0028,2,48,419000
2,2,51600,721,3100,0.0601,0,46,488000
0,1,55600,687,5100,0.0917,2,34,362000
0,2,46800,646,2700,0.0576999999999999,0,41,729000
1,1,65100,656,3800,0.0584,1,36,815000
2,0,54800,632,3800,0.0693,0,37,398000
4,5,37300,780,2600,0.0697,1,23,872000
0,2,27300,781,0,0.0,0,57,480000
1,3,55300,771,0,0.0,1,55,494000
4,4,39200,677,0,0.0,1,41,138000
2,0,38600,721,2000,0.0518,1,28,530000
4,2,57300,709,2000,0.0349,0,44,288000
2,1,51700,757,2700,0.0521999999999999,2,53,629000
1,2,91100,732,0,0.0,0,55,520000
2,5,49700,732,4500,0.0905,2,38,561000
3,5,91100,739,3600,0.0387,0,48,639000
4,2,15000,705,1100,0.0733,2,32,207000
4,1,34700,663,3000,0.0865,0,40,202000
3,1,40400,715,0,0.0,0,23,798000
3,1,67600,617,4500,0.0666,1,51,995000
3,5,59500,715,1000,0.0168,2,45,680000
4,4,75600,654,5600,0.0741,1,48,297000
4,0,56500,728,500,0.0088,2,55,100000
3,3,36100,768,1600,0.0443,1,37,316000
4,1,48100,709,3200,0.0665,0,40,290000
2,0,91100,691,2900,0.0314,1,63,420000
2,4,31200,629,2000,0.0641,0,63,463000
1,0,48600,701,1900,0.0391,1,59,267000
3,0,19400,688,3600,0.1856,2,28,584000
4,1,67700,781,1800,0.0266,2,42,240000
2,4,38900,658,4800,0.1234,1,30,729000
0,4,37400,689,6300,0.1711,0,58,995000
4,5,27100,687,1300,0.048,0,51,941000
1,0,46000,647,5200,0.113,0,29,427000
3,2,69400,676,3400,0.049,0,43,873000
0,5,68000,692,2200,0.0324,1,63,146000
4,0,10000,713,2300,0.23,0,23,864000
3,2,42200,643,800,0.019,1,36,944000
2,4,46800,732,2800,0.0598,0,62,861000
2,1,10000,688,1600,0.16,0,45,628000
3,1,44300,726,600,0.0135,1,26,723000
2,1,48400,728,0,0.0,1,38,813000
0,2,70500,688,3400,0.0482,1,63,543000
3,1,84400,675,2400,0.0283999999999999,1,52,268000
2,5,11800,673,6300,0.5339,2,51,100000
4,2,73400,729,4800,0.0654,2,43,498000
3,3,21800,678,700,0.0321,2,37,848000
3,2,63800,703,900,0.0141,1,28,778000
2,5,60600,781,3800,0.0626999999999999,0,51,243000
1,1,45000,617,6300,0.1533,0,31,626000
2,1,83900,686,2200,0.0262,2,54,882000
2,5,48900,646,400,0.0081999999999999,1,34,100000
0,5,68900,702,5500,0.0798,1,33,900000
1,0,61200,707,2400,0.0392,2,34,801000
0,3,68900,747,2200,0.0319,1,30,644000
0,4,80600,698,5400,0.067,0,49,995000
1,5,45200,689,4300,0.0951,0,27,296000
0,3,88000,617,3300,0.0375,0,63,908000
3,5,82500,732,1800,0.0218,1,63,611000
1,5,35600,735,5100,0.1433,0,29,616000
3,5,10000,667,6300,0.69,1,54,178000
3,3,51200,675,1200,0.0233999999999999,2,63,911000
1,3,46000,705,900,0.0196,0,24,259000
0,5,71000,781,0,0.0,0,62,398000
0,5,63600,685,2600,0.0409,2,63,300000
1,0,23300,761,4800,0.206,2,63,100000
4,5,73700,637,1300,0.0176,0,24,429000
4,3,57300,738,3600,0.0628,2,28,540000
3,1,10000,748,800,0.08,0,29,539000
3,0,58100,742,3800,0.0654,2,30,810000
3,2,34900,708,6300,0.2206,2,33,100000
1,3,55200,762,4700,0.0851,0,23,464000
3,3,51800,703,4400,0.0849,1,49,350000
4,0,61700,694,1600,0.0259,0,63,100000
3,0,79800,708,3400,0.0426,0,62,995000
3,4,51600,759,0,0.0,2,55,995000
4,0,65100,763,900,0.0138,2,50,501000
3,1,28800,739,5400,0.1875,0,29,982000
2,2,65800,700,3900,0.0593,1,23,915000
3,3,91100,643,2700,0.027,0,58,549000
1,0,53000,644,6300,0.134,0,23,289000
4,3,71000,696,3500,0.0493,0,58,587000
4,3,18700,694,5400,0.2888,2,23,454000
4,5,25600,700,6300,0.3945,2,23,736000
0,3,48800,685,3800,0.0779,0,32,565000
1,4,10000,722,4600,0.46,0,52,837000
3,3,63000,679,4200,0.0667,1,46,547000
4,5,74000,781,5200,0.0703,1,43,979000
3,2,56600,703,2400,0.0424,2,39,232000
1,5,55800,702,4000,0.0717,2,62,624000
3,5,39000,772,2900,0.0744,1,63,888000
0,3,78400,715,800,0.0102,0,26,561000
1,3,40300,708,2700,0.067,2,23,547000
1,3,90400,676,0,0.0,1,56,879000
3,0,42200,665,2800,0.0664,1,62,611000
3,0,69500,724,4000,0.0576,0,52,381000
2,2,63400,735,4800,0.0757,0,61,547000
2,2,78900,686,6300,0.0862,0,45,490000
4,2,52300,688,3000,0.0574,2,41,593000
3,4,23900,653,6300,0.2678,2,25,634000
2,5,58700,625,3900,0.0664,0,57,311000
1,0,10000,636,900,0.09,0,25,424000
3,5,75800,699,2600,0.0343,0,51,888000
1,0,40300,721,3600,0.0892999999999999,2,29,169000
3,5,48000,717,4900,0.1021,1,42,100000
0,2,68300,738,2200,0.0322,1,49,100000
0,2,59200,704,2900,0.049,0,41,678000
1,0,72200,689,4500,0.0623,1,63,710000
2,1,44700,660,2200,0.0492,0,58,100000
0,0,64900,685,6300,0.0986,0,61,648000
2,4,58300,769,1300,0.0223,1,58,619000
1,4,67100,627,1600,0.0237999999999999,0,57,554000
4,1,73400,671,2700,0.0368,0,39,198000
4,3,62400,661,4900,0.0785,2,40,336000
4,4,41700,751,4800,0.1151,2,60,198000
0,2,10000,768,1300,0.13,2,23,310000
4,4,25500,746,3300,0.1294,2,58,566000
1,0,28500,723,200,0.0069999999999999,1,27,437000
1,0,60700,781,0,0.0,0,28,202000
3,3,67700,710,900,0.0133,1,23,231000
3,3,57400,689,5600,0.0975999999999999,1,56,483000
2,5,15700,723,3400,0.2166,2,32,395000
1,4,65200,763,1800,0.0276,0,33,638000
2,2,52700,775,0,0.0,2,62,286000
4,3,71400,681,2600,0.0364,0,25,254000
1,4,59300,781,4500,0.0759,2,31,713000
0,1,63400,710,1700,0.0268,0,35,100000
1,0,44400,781,2900,0.0653,0,44,191000
0,3,83100,703,5300,0.0638,2,31,995000
4,3,54100,741,6300,0.1405,1,39,584000
2,1,91100,745,6300,0.0883,0,63,761000
2,2,45900,647,400,0.0087,1,57,893000
1,5,91100,695,3600,0.0289,2,54,467000
4,4,73600,673,0,0.0,2,53,483000
1,3,33300,623,4700,0.1411,1,54,859000
4,3,82900,660,3600,0.0434,0,33,534000
1,5,56100,781,0,0.0,2,36,379000
3,2,63800,653,4900,0.0768,0,52,253000
0,4,42100,623,3200,0.076,0,53,100000
4,3,12100,685,4000,0.3306,2,48,573000
0,0,58500,707,3300,0.0564,1,30,199000
1,1,75100,741,3900,0.0519,0,24,663000
0,4,18900,755,1600,0.0847,0,52,186000
2,1,91100,717,1300,0.0121999999999999,0,57,100000
2,5,38800,663,3600,0.0928,1,23,505000
2,1,58500,779,1700,0.0291,2,44,100000
2,1,77300,777,6300,0.0917999999999999,2,40,995000
2,5,91100,617,3300,0.0314,1,29,204000
0,5,85500,689,2800,0.0327,0,53,742000
4,4,35300,660,3400,0.0963,1,23,355000
0,0,25300,734,3400,0.1344,0,38,645000
0,4,19400,778,4700,0.2423,2,50,594000
3,5,38000,716,5000,0.1316,2,51,356000
3,5,25300,674,6300,0.2767,2,58,680000
2,2,47200,617,1200,0.0254,2,40,777000
3,4,21000,726,2500,0.119,0,35,100000
0,0,72600,648,0,0.0,2,54,455000
0,0,56500,721,1500,0.0265,0,42,100000
1,1,73400,623,3400,0.0463,0,26,327000
3,3,10800,688,3800,0.3519,0,44,100000
3,5,77500,781,4700,0.0605999999999999,1,61,826000
4,4,78300,659,4000,0.0511,1,54,277000
3,0,12000,781,4500,0.375,2,28,867000
2,1,38700,737,6300,0.1628,0,24,247000
4,4,22800,733,6200,0.2719,2,63,301000
2,5,38200,730,3300,0.0864,0,25,100000
1,1,24500,730,2600,0.1061,0,47,130000
4,2,81800,622,5600,0.0684999999999999,1,29,590000
2,5,75200,682,0,0.0,1,34,149000
4,4,15400,630,6300,0.4156,2,63,386000
3,4,79200,687,3300,0.0417,0,33,654000
1,2,46200,627,1800,0.039,2,46,134000
3,1,44700,699,3000,0.0670999999999999,1,49,600000
0,3,51700,733,1400,0.0271,1,58,452000
1,5,33400,767,0,0.0,0,44,253000
3,5,80400,723,6300,0.0908,1,46,100000
0,5,43400,774,6300,0.1475,0,63,305000
3,3,80900,627,2300,0.0283999999999999,1,47,522000
4,0,65600,700,5300,0.0808,1,42,995000
3,3,53500,771,600,0.0112,2,35,628000
1,3,35000,657,6300,0.18,1,61,100000
1,1,29500,685,1800,0.061,0,58,641000
4,0,75900,646,3800,0.0501,0,44,249000
2,0,10000,781,1500,0.15,1,34,918000
1,0,70600,668,2100,0.0297,2,38,305000
3,0,77000,617,600,0.0078,2,51,303000
1,2,29100,658,400,0.0137,2,39,390000
0,1,26200,694,1300,0.0496,2,35,371000
1,1,39300,706,1500,0.0382,0,26,622000
3,0,40600,658,4000,0.0984999999999999,2,53,563000
3,1,27000,772,3900,0.1444,2,56,845000
0,4,43600,709,5100,0.1169999999999999,0,44,341000
4,4,46700,741,3200,0.0684999999999999,1,40,799000
0,1,30600,687,4000,0.1307,2,45,105000
4,4,60200,751,0,0.0,2,42,679000
3,2,56600,753,3500,0.0617999999999999,1,63,668000
1,3,72000,674,0,0.0,1,48,618000
2,4,72800,676,400,0.0055,0,38,301000
4,5,43900,775,2100,0.0478,2,29,852000
1,0,91100,776,2700,0.0278,0,41,573000
1,0,33600,714,1600,0.0475999999999999,1,34,778000
3,0,40100,663,5200,0.1297,1,57,995000
0,1,23400,649,1500,0.0641,0,30,995000
2,3,51800,675,2300,0.0444,1,49,270000
3,3,51000,747,5200,0.102,2,26,708000
4,4,58600,686,0,0.0,2,50,995000
4,0,49400,780,0,0.0,1,63,528000
1,2,16700,677,4200,0.2515,1,32,753000
1,2,48600,694,2900,0.0596999999999999,2,38,995000
3,4,17000,776,3700,0.2176,0,27,100000
0,1,18700,681,3400,0.1818,0,62,942000
2,0,44300,735,6100,0.1377,0,62,782000
4,1,16100,779,2600,0.1614999999999999,0,44,654000
2,4,68600,720,1400,0.0204,0,52,792000
3,3,91100,665,1800,0.0176,1,60,617000
2,2,49700,699,2300,0.0463,2,54,100000
1,3,33100,631,5100,0.1541,0,30,160000
0,2,75400,781,300,0.004,2,56,685000
2,0,41800,618,2000,0.0478,0,41,341000
2,0,22900,691,2400,0.1048,2,63,426000
0,2,35500,729,3500,0.0986,1,63,439000
3,4,79800,672,2100,0.0263,1,48,969000
4,3,17200,732,5500,0.3198,0,34,344000
0,5,36300,684,6300,0.2562,2,23,366000
3,3,71200,730,700,0.0098,1,57,542000
3,4,81100,781,3000,0.037,1,35,771000
2,3,15000,771,2300,0.1533,1,47,355000
3,0,44400,699,2200,0.0495,1,50,568000
1,4,50000,664,4900,0.098,0,55,535000
1,2,65800,680,5400,0.0821,2,51,995000
3,4,76700,781,2000,0.0260999999999999,1,42,189000
1,2,68300,766,3700,0.0542,2,49,375000
1,5,44300,721,4100,0.0926,0,27,506000
2,5,54800,704,2000,0.0365,0,60,365000
1,2,36800,685,1000,0.0272,2,25,177000
3,4,25200,711,4000,0.1586999999999999,1,46,447000
3,0,45200,678,2800,0.0619,2,33,556000
3,0,70300,716,2700,0.0384,2,47,107000
1,3,66600,690,2000,0.03,2,49,232000
0,5,64100,779,3700,0.0576999999999999,1,49,549000
1,0,83900,772,2600,0.031,0,29,671000
0,5,10000,716,2000,0.2,1,52,768000
1,2,63700,659,3200,0.0501999999999999,2,47,269000
0,0,82400,631,1600,0.0194,0,39,828000
2,1,44300,625,800,0.0181,1,26,100000
0,2,91100,696,200,0.0021,2,45,792000
1,1,22100,771,1300,0.0588,0,51,610000
0,2,24300,681,5600,0.2305,0,43,478000
0,5,43700,634,6300,0.1442,0,57,691000
2,5,68800,704,4700,0.0683,2,45,382000
2,3,49800,652,6100,0.1225,0,63,648000
1,1,91100,651,5900,0.0548,2,45,629000
4,1,82000,678,3500,0.0426999999999999,0,36,646000
0,3,45600,676,6300,0.1425,0,43,100000
1,2,33200,726,2900,0.0873,2,36,346000
4,5,42800,667,3100,0.0724,2,43,686000
4,1,67600,639,4500,0.0666,2,24,366000
1,0,18400,781,1700,0.0924,0,56,200000
4,2,49100,705,300,0.0060999999999999,1,49,679000
1,0,62800,617,1600,0.0255,2,57,100000
1,4,74100,735,2200,0.0297,1,39,344000
4,0,86500,748,1500,0.0173,1,31,995000
2,4,38300,621,2900,0.0757,1,54,530000
1,5,47100,759,3300,0.0701,1,23,627000
4,0,57200,627,1900,0.0332,0,35,462000
1,1,91100,770,4200,0.0441,0,42,539000
1,3,41600,677,4900,0.1177999999999999,1,60,237000
3,3,37700,694,5000,0.1326,0,24,959000
1,0,81300,781,4100,0.0504,0,35,413000
2,4,91100,733,5800,0.0559,2,60,605000
4,4,13000,781,2200,0.1692,1,30,644000
2,5,12900,703,2100,0.1628,1,24,537000
0,2,36000,746,5000,0.1389,2,35,610000
1,4,59300,715,3900,0.0658,2,35,859000
0,1,22000,641,4400,0.2,1,23,680000
1,3,82100,682,2900,0.0353,2,26,580000
2,1,65800,703,1800,0.0274,1,52,786000
3,3,56200,733,0,0.0,1,63,293000
2,3,54900,673,4700,0.0856,2,60,613000
0,2,44500,670,4000,0.0899,2,43,139000
1,3,36100,731,4800,0.133,0,37,626000
2,1,36100,711,6300,0.1745,1,40,609000
1,3,74600,760,1300,0.0174,0,63,367000
4,2,36900,736,700,0.019,2,63,169000
3,5,33200,688,3000,0.0904,1,63,100000
2,0,79300,781,5400,0.0681,1,26,207000
0,1,10000,766,1500,0.15,0,57,371000
4,2,91100,758,800,0.0079,2,42,392000
4,4,51700,685,4300,0.0832,1,54,334000
3,3,79600,772,4800,0.0603,2,24,616000
2,2,35700,724,2200,0.0616,0,27,678000
2,0,23900,701,3100,0.1297,2,23,833000
1,0,87400,617,4600,0.0526,2,46,416000
1,0,91100,777,3100,0.0333,0,39,793000
3,2,45600,706,4100,0.0899,0,60,681000
2,4,62700,728,0,0.0,2,38,273000
3,1,36400,628,1600,0.044,2,45,424000
3,4,10000,617,4700,0.47,0,56,737000
4,4,10000,648,5300,0.53,1,40,354000
3,3,28200,738,3400,0.1206,2,58,686000
0,4,10000,736,4800,0.48,1,40,569000
2,4,63800,750,4000,0.0626999999999999,0,63,229000
0,4,53000,655,2500,0.0472,2,43,425000
3,1,58500,635,300,0.0051,2,57,643000
4,5,72300,736,200,0.0028,2,54,704000
4,1,66400,709,6000,0.0904,1,40,823000
4,0,46300,721,2000,0.0432,1,24,414000
1,0,91100,707,5200,0.0546,0,36,226000
3,3,15700,640,1900,0.121,2,63,111000
2,0,53000,726,4200,0.0791999999999999,1,49,529000
4,5,46600,711,3200,0.0687,2,63,669000
2,1,19600,651,4200,0.2143,0,61,816000
1,3,58000,781,4000,0.069,2,26,821000
4,2,87100,654,1500,0.0172,0,52,515000
2,4,29300,646,3000,0.1024,2,42,587000
0,2,34700,723,0,0.0,1,52,753000
3,2,85000,659,0,0.0,2,38,166000
3,1,80900,691,4900,0.0605999999999999,0,24,355000
3,3,83500,701,5300,0.0635,2,49,405000
2,1,52500,642,6300,0.1276,1,33,157000
3,4,54200,634,0,0.0,0,53,654000
3,0,27000,780,0,0.0,1,40,100000
2,0,20500,664,6300,0.3463,2,43,100000
3,2,29700,666,4300,0.1448,0,30,623000
1,0,18000,650,3300,0.1833,1,50,947000
3,5,24500,741,5200,0.2122,2,51,379000
3,4,33200,760,3400,0.1024,2,33,292000
2,1,50000,696,2700,0.054,1,30,575000
1,3,91100,704,700,0.0075,0,33,394000
0,0,62900,678,200,0.0032,2,47,646000
2,1,64500,663,4400,0.0682,1,51,100000
2,3,28700,731,5000,0.1742,1,55,734000
0,1,42400,698,5100,0.1202999999999999,2,31,327000
0,5,10000,679,400,0.04,0,50,995000
1,5,70800,689,1500,0.0212,0,24,405000
1,1,12300,694,3900,0.3171,2,35,376000
0,3,39700,629,100,0.0025,2,29,172000
0,5,18300,701,4200,0.2294999999999999,1,25,372000
0,3,35300,632,4300,0.1217999999999999,1,44,747000
3,2,61200,636,3700,0.0605,1,54,873000
2,2,79300,658,0,0.0,2,39,528000
3,2,10000,630,2300,0.23,2,32,427000
1,3,66300,690,2800,0.0421999999999999,2,34,619000
0,1,85000,693,3400,0.04,0,46,704000
4,1,75900,732,2600,0.0343,0,47,579000
4,3,25200,653,2800,0.1110999999999999,1,23,491000
0,3,61800,781,6300,0.1052,0,63,463000
1,0,54800,740,6300,0.115,1,37,874000
2,3,48600,723,2500,0.0513999999999999,1,35,546000
3,3,52800,626,900,0.017,0,33,629000
2,0,70500,698,2300,0.0326,1,56,259000
0,1,63800,721,4600,0.0721,1,23,662000
1,5,88300,743,4000,0.0453,0,63,664000
3,2,50800,694,2400,0.0472,2,36,508000
0,4,69600,617,400,0.0056999999999999,0,56,508000
1,0,56100,725,4300,0.0766,2,63,284000
2,0,60500,683,2000,0.0331,0,42,725000
1,1,91100,711,0,0.0,0,23,610000
3,2,43000,724,3100,0.0721,2,45,559000
3,4,26000,699,0,0.0,1,38,539000
4,3,44600,685,700,0.0157,1,53,736000
3,4,60200,733,4900,0.0814,1,49,181000
2,4,54700,719,5400,0.0987,0,55,995000
0,4,61500,627,3600,0.0584999999999999,2,36,233000
1,1,54800,677,2900,0.0529,2,30,163000
3,4,32600,708,4000,0.1226999999999999,0,48,100000
0,3,65200,685,4200,0.0644,2,62,287000
4,1,39300,710,5000,0.1272,1,26,928000
3,3,73100,777,2200,0.0301,1,60,100000
3,1,69800,728,2000,0.0287,1,52,977000
4,2,18400,694,0,0.0,2,60,604000
0,0,59800,619,3500,0.0584999999999999,2,63,100000
0,2,38000,717,6300,0.1737,2,46,547000
2,5,27600,729,5200,0.1884,0,44,631000
3,5,61500,781,3200,0.052,1,63,796000
2,1,87900,675,4600,0.0523,1,63,546000
3,4,23000,693,2200,0.0957,2,63,100000
3,0,56100,691,6000,0.107,1,63,426000
2,4,17500,666,3600,0.2057,2,59,174000
0,4,50000,736,0,0.0,1,55,334000
1,4,41700,715,1600,0.0384,1,59,513000
4,3,44300,726,2200,0.0496999999999999,2,34,258000
0,0,70800,709,2900,0.0409999999999999,1,29,310000
3,0,32300,722,5100,0.1578999999999999,1,41,431000
0,4,54700,707,3100,0.0567,1,35,478000
2,5,35300,689,4900,0.1388,2,48,231000
4,1,63900,729,5300,0.0828999999999999,2,34,278000
4,0,81300,729,800,0.0098,1,40,502000
3,2,91100,735,3000,0.0278,2,38,122000
0,5,67400,703,3400,0.0504,2,37,411000
4,4,65300,747,900,0.0138,0,34,180000
3,2,42700,699,3100,0.0726,0,30,550000
3,1,37200,769,1500,0.0403,0,32,395000
0,3,25800,664,4100,0.1589,2,25,255000
4,5,37400,712,0,0.0,0,42,995000
0,1,26300,757,4700,0.1787,0,61,668000
3,1,30100,622,3100,0.103,1,40,635000
0,3,72900,676,5500,0.0754,1,28,425000
1,4,10000,672,0,0.0,1,63,578000
3,4,49700,722,2600,0.0523,1,44,836000
0,3,10500,680,3700,0.3524,1,23,709000
1,0,21500,617,1400,0.0650999999999999,2,43,847000
